Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
"My Grandma, My Pen Pal",,,,,Jan Dale Koutsky,"Koutsky, Jan Dale",,,,,Boyds Mills Press,,2002,,Family,"The voice of a woman whose grandmother lived a long car ride away during her childhood, recounts the happy correspondence they shared.",,,,,,,32,,,,,English,,,,9781563971181,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.584687948,,,,,,9nECAAAACAAJ,,0,,
Ocean Hide and Seek,,,,,Jennifer Evans Kramer,"Kramer, Jennifer Evans",,,,,Sylvan Dell Publishing,,2009,,Juvenile Fiction,"The sea is a place of mystery, where animals big and small play hide and seek! Can you imagine a shark hiding in the light? What about a clownfish in plain sight? Don't believe it? Then, sink into the deep blue sea with Jennifer Evans Kramer and Ocean Hide and Seek! Surround yourself with the vibrant ocean illustrations of Gary R. Phillips. The ocean is an old, old place, and the exotic animals in the depths have learned to adapt to their surroundings to survive. Can you find the creatures hidden on every page? Or will you, too, be fooled by an ancient, underwater disguise? The ""For Creative Minds"" learning section includes an ""Animal Classification"" and ""Food for Thought"" activity.This nonfiction picture book with a cuddle factor includes a 5-page For Creative Minds section in the back of the book and a 33-page cross-curricular Teaching Activity Guide online. Ocean Hide and Seek is vetted by experts and designed to encourage parental engagement. Its extensive back matter helps teachers with time-saving lesson ideas, provides extensions for science, math, and social studies units, and uses inquiry-based learning to help build critical thinking skills in young readers. The Spanish translation supports ELL and dual-language programs. The enhanced ebook reads aloud in both English and Spanish with word highlighting and audio speed control to promote oral language skills, fluency, pronunciation, text engagement, and reading comprehension.",,,,,,,32,,,,,English,,,,9781934359914,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.528149962,,,,,,Tjo7DaDEom4C,,0,,
Otter play,,,,,Nancy Luenn,"Luenn, Nancy",,,,,Atheneum Books for Young Readers,,1998,,Fiction,,,,,,,,,,,,,,,,,9780689811265,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.575765967,,,,,,,,0,https://covers.openlibrary.org/b/id/1340491-L.jpg,
Shark vs. Train,,,,,Chris Barton,"Barton, Chris",,,,,"Little, Brown Books for Young Readers",2015/04/07,2015,,Juvenile Fiction,"Shark VS. Train! WHO WILL WIN?!If you think Superman vs. Batman would be an exciting matchup, wait until you see Shark vs. Train. In this hilarious and wacky board book, Shark and Train egg each other on for one competition after another, including burping, pie eating, hide and seek and many more! Who do YOU think will win, Shark or Train? With #1 New York Times bestselling illustrator Tom Lichtenheld's hilarious and playful illustrations combined with Chris Barton's zany text, this board book, which has been adapted from the picture book, will have parent and baby laughing out loud.",,,,,,,20,,,,,English,,,,9780316378147,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:44:49.610767006,,,,,,ptvVoQEACAAJ,,0,,
The Alphabet Tree,,,,,Leo Lionni,"Lionni, Leo",,,,,Knopf,,1996,,Juvenile Fiction,"After a storm blows some of them away, the letters on the alphabet tree learn from a strange bug to be stronger by forming words, then a caterpillar comes along and tells them that words are not enough; they must say something important.",,,,,,,32,,,,,English,,,,9780394910161,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.535658001,,,,,,WXNaAAAAYAAJ,,0,,
The Belly Book,,,,,Fran Manushkin,"Manushkin, Fran",,,,,Macmillan,2011/11/08,2011,,Juvenile Fiction,"A delightful read-aloud celebrates, in rhyming fashion, all things belly, no matter what shape or size, from children to adults to even animals. From the illustrator of Cooking with Henry and Elliebelly.",,,,,,,32,,,,,English,,,,9780312649586,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.181686997,,,,,,BvJjfkyxXn0C,,0,,
The Berenstain Bears Forget Their Manners,,,,,"Stan Berenstain, Jan Berenstain","Berenstain, Stan",,,,,"Baker & Taylor, CATS",2009/07/10,2009,,Bears,"""When Mama Bear's efforts to improve her family's manners are unsuccessful, she devises a Politeness Plan--a chart listing a chore as a penalty for each act of rudeness. Basic etiquette is presented in a practical way. Berenstain illustrations add humor and understanding.""--School Library Journal.",,,,,,,32,,,,,English,,,,9781442015418,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:37.751770973,,,,,,hE7KPgAACAAJ,,0,,
The Cut-ups Carry on,,,,,James Marshall,"Marshall, James",,,,,Viking,,1990,,Dance,"Five favorite James Marshall titles featuring the antics of irrepressible Spud and Joe are once again available in hardcover, ready for a new generation of fans. ""Pure un-adulterated silliness."" (Parents Choice for The Cut-Ups)James Marshall, 1942-1992, was the creator of numerous popular picture books and easy-to-reads for children. His book, Goldilocks and the Three Bears received a Caldecott Honor in 1989. Additional favorites include the Fox books and Rats on the Range.",,,,,,,32,,,,,English,,,,9780670816453,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.139386057,,,,,,q7N4PQAACAAJ,,0,,
The Foot Book,,,,,Dr. Seuss,"Seuss, Dr.",,,,,Random House,,1968,,Juvenile Fiction,"Beginning readers will love this foot-filled Bright and Early Book classic by Dr. Seuss! From left feet to right feet and wet feet to dry feet, there are so many feet to meet. The Foot Book will have young readers eager to step into the wonderful world of Dr. Seuss.   Combining brief and funny stories, easy words, catchy rhythm, and lively illustrations, Bright and Early Books are an ideal way to introduce the joys of reading to children.   From the Hardcover edition.",,,,,,,32,,,,,English,,,,9780394909370,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.569457054,,,,,,FDYJAQAAMAAJ,,0,,
The great pancake escape,,,,,Paul Many,"Many, Paul",,,,,Walker & Company,,2002,,In library,,,,,,,,,,,,,,,,,9780802787965,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.108294963,,,,,,,,0,https://covers.openlibrary.org/b/id/4340556-L.jpg,
The Happy Day,,,,,Ruth Krauss,"Krauss, Ruth",,,,,HarperCollins,1949/01/01,1949,,Juvenile Fiction,The woodland animals awake from their deep winter's sleep to discover the first sign of spring'a flower blooming in the snow.  1950 Caldecott Honor Book,,,,,,,36,,,,,English,,,,9780060233969,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.520432949,,,,,,taR4mgEACAAJ,,0,,
The Summer Nick Taught His Cats to Read,,,,,Curtis Manley,"Manley, Curtis",,,,,Simon and Schuster,2016/07/05,2016,,Juvenile Fiction,"A School Library Journal Best Book of the Year A Chicago Public Library Best Book of the Year “A marvelous debut…Sometimes it takes the right nudge to fall in love with books.” —Publishers Weekly (starred review) “This quirky tale filled with subtle humor makes a fun read-aloud, especially for cat lovers, literacy lovers, or anyone looking for a great story.” —School Library Journal (starred review) It’s not easy to teach a cat to read, but one boy tries to anyway in this sweet and silly picture book debut that captures the challenges and rewards of learning to read.Nick loves to read books—and he loves to play with his cats, Verne and Stevenson. So naturally Nick decides it’s a great idea to teach his cats to read. But Verne and Stevenson don’t appreciate when Nick wakes them up with a flashcard that says NAP. Nick finally piques Verne’s interest with words like MOUSE and FISH. But not Stevenson’s. While Nick and Verne go to the library, Stevenson hides under the porch. Will Nick ever find a way to share his love of reading with his feline friends?",,,,,,,32,,,,,English,,,,9781481435697,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.549294948,,,,,,f9SODAAAQBAJ,,0,,
The Youngest Fairy Godmother Ever,,,,,Stephen Krensky,"Krensky, Stephen",,,,,Simon & Schuster Books for Young Readers,,2000,,Juvenile Fiction,"Mavis know what she wants to be when she grows up -- a fairy godmother. She wants to make wishes come true. But exactly how does a person become a fairy godmother? Mavis practices watching over people in secret and popping up out of nowhere. She tries out costumes and magic wands, too. But when Mavis finally puts her magic to the test, the results are not encouraging at first.  This enchanting story sparkles with personality and humor as it brings Mavis face-to-face with a Cinderella who's been under her nose all along.",,,,,,,32,,,,,English,,,,9780689820113,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.541609048,,,,,,6JEJAAAACAAJ,,0,,
Tugga-Tugga Tugboat,,,,,Kevin Lewis,"Lewis, Kevin",,,,,Hyperion Book CH,2006/08/08,2006,,Juvenile Nonfiction,"Cast off! . . . anchors aweigh. Popular collaborators Kevin Lewis and Daniel Kirk have teamed up again to create the perfect read-aloud for bath time or any time. The book brings to life tugboats, tankers, cargo, and more, with a lyrical, repetitive refrain and bold, colorful art. Toot! Toot!",,,,,,,32,,,,,English,,,,9780786856152,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.562991023,,,,,,tajwAAAACAAJ,,0,,
Yoko & Friends School Days: Practice Makes Perfect - Book #10,,,,,Rosemary Wells,"Wells, Rosemary",,,,,Disney-Hyperion,2002/11/18,2002,,Juvenile Fiction,"Timothy doesn't play an instrument, but he's determined to have a solo in the clas talent show. How can he learn enough about music to shine on stage? His good friend, Yoko, knows how: practice, practice, practice.",,,,,,,32,,,,,English,,,,9780786815319,0,0,,Unread,,,,,,,0,,,,2018/09/11 10:38:00.304489970,,,,,,mduvFbnXc8cC,,0,,
Yuck!,,,,,Brita Granström,"Granström, Brita",,,,,Lincoln Children's Books,2005/04/07,2005,,Juvenile Nonfiction,"""This baby slurps a rotten egg that is all stinky and smelly. That's not our baby's supper. Yuck!"" With a funny and rhythmic text perfect for reading aloud, this fun ""gross-out"" information book for young children is about animal babies -- a crow, lizard, osprey, toad, and owl -and the foods they like to eat -- a worm tugged out of the ground, a stinky rotten egg, a spider with eight hairy legs, a whole raw fish, a crunchy beetle, and a furry rat. The authors' colorful artwork and natural history background make this book both lively and educational.",,,,,,,24,,,,,English,,,,9781845070885,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.196578979,,,,,,8pmNPwAACAAJ,,0,,
