Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Me On The Map,,,,Joan Sweeney,"Sweeney, Joan",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/04/06 20:15:24.103500008,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/30FD8AEE-16D5-4813-B796-FF385A5E7BCB,
Michael Recycle,,,,Ellie Bethel,"Bethel, Ellie",,,,Worthwhile Books,,2008,Juvenile Fiction,,,"Just in time for Earth Day on April 22, Michael Recycle tells the adventures of a young superhero whose power allows him to teach people about recycling. After cleaning up a town, the people declare: ""To Michael Recycle! The green-caped crusader, our super-green hero, the planet's new savior!""",,,,,,,,28,,,,,English,,,,9781600102240,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:27:16.432824969,,,,,,WIlAvgAACAAJ,,0,,
"My ""a"" book (My first steps to reading)",,,,Jane Belk Moncure,"Moncure, Jane Belk",,,,Childs World/Grolier,,2001,,,,,,,,,,,,29,,,,,,,,,9780717265008,0,0,,Unread,,,,,,,0,,,,2018/04/08 11:31:41.235401034,,,,,,,,0,https://img3.doubanio.com/lpic/s11286372.jpg,
My “w” Book,,,,Jane Bell Moncure,"Moncure, Jane Bell",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/04/06 20:17:53.712208032,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/56840408-508D-40CB-94F3-FE501BBEA65B,
"Oh, The Places You’ll Go!",,,,Dr. Seuss,"Seuss, Dr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/03/29 14:39:17.986279964,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/B0D3DE73-89DF-4F40-AEB8-936179A013B1,
Peter Pan,,,,Walt Disney,"Disney, Walt",,,,Disney Publishing Worldwide,,2007,,,,"Storybook version of the Walt Disney classic film, Peter Pan.",,,,,,,,24,,,,,English,,,,9781403748737,0,0,,Unread,,,,,,,0,,,,2018/04/06 20:16:13.131577968,,,,,,59xFswEACAAJ,,0,,
Picture Day Perfection,,,,Deborah Diesen,"Diesen, Deborah",,,,Harry N. Abrams,2013/09/03,2013,Juvenile Fiction,,,"It's picture day, and the boy at the center of this charming picture book wants to make sure his picture is perfect. It seems as though everything's going wrong for him--he has bedhead, a stained shirt, and a big scowl on his face. But when he goes up for his picture, he thinks about his terrible appearance, and he smiles--because he secretly wants his picture to be the worst ever taken! But just as he smiles, the photo is snapped and his plan is ruined--the photo looks great. Perfectly paired with the larger-than-life silliness of Dan Santat's illustrations, this is sure to be a schoolroom favorite. It will come bound with a picture frame in the back so readers can add their own class photos to the book.  Praise for Picture Day Perfection ""A clever tale about a kid who wants this year to be his showcase for the perfect school picture."" --Kirkus Reviews  ""Colorful yearbook-style endpapers are fun to pore over and even include a place to insert one's own picture, though this feature will be compromised by most library processing. This slapstick picture book will appeal most to school-age kids who will get the jokes peppered throughout the text and the visuals."" --School Library Journal  ""The narrator's malleable features are in a perpetual state of contortion as he plans his photo disaster and reacts to the series of unfortunate events that conspire to bring him glory. Clever bits such as the scribbled emoticons on his September calendar page, and the sepia- and gray-toned faces that play in his imagination add to the fun."" --The Bulletin of The Center for Children's Books",,,,,,,,32,,,,,English,,,,9781419708442,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.923444032,,,,,,JdVwMwEACAAJ,,0,,
Plants Can't Sit Still,,,,Rebecca E. Hirsch,"Hirsch, Rebecca E.",,,,Millbrook Press,,2016,Juvenile Nonfiction,,,"Do plants really move? Absolutely! You might be surprised by all ways plants can move. Plants might not pick up their roots and walk away, but they definitely don't sit still! Discover the many ways plants (and their seeds) move. Whether it's a sunflower, a Venus flytrap, or an exotic plant like an exploding cucumber, this fascinating picture book shows just how excitingly active plants really are.",,,,,,,,32,,,,,English,,,,9781467780315,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:25:38.939280986,,,,,,e3ReDAAAQBAJ,,0,,
Pooh's Favorite Things about Spring,,,,Kathleen Weidner Zoehfeld,"Zoehfeld, Kathleen Weidner",,,,Disney Press,,2000,Juvenile Fiction,,,"One sunshiny spring day, Pooh enjoys a happy, humming walk through the Hundred-Acre Wood. He follows a buzzing bee to a honey tree, and finds plenty of flowing rivers, waving flowers, and smiling friends to greet along the way. This cheery Pooh story introduces young children to the concept of spring, and points out that in many ways, the best thing about spring is ... everything Learning about spring is a favorite preschool activity, and this book is sure to join Pooh Welcomes Winter as one of the top sellers in this successful series.",,,,,,,,32,,,,,English,,,,9780786832514,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.904602050,,,,,,sVHNnXSPP4YC,,0,,
"Princess, Princess",,,,Penny Dale,"Dale, Penny",,,,Candlewick Press,,2007,Juvenile Fiction,,,"A charmingly illustrated story about friendship and forgiveness. Loosely based on the tale of Sleeping Beauty, this is the magical story of a pretty princess who forgets to invite one frowning little fairy to her party. The fairy, in a fit of pique, casts a naughty, nasty spell. But she regrets her temper tantrum and, with a kiss, makes everything all right once again.",,,,,,,,32,,,,,English,,,,9780763635657,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.949730992,,,,,,bPXhGAAACAAJ,,0,,
