Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Snow,,,,,Manya Stojic,"Stojic, Manya",,,,,Alfred A. Knopf,,2002,,Juvenile Fiction,"Moose, bear, fox, and hare frolic in a snowy, glowy winter wonderland from the creator of Rain. Winter is coming to the north woods and the animals are all getting ready for the first big snow. The owl hears the wind whistle, but the moose sees the first flakes. Now the geese know it is time to fly south, and the bear knows it is time for sleep. Then it snows and snows and snows. Every flake is different. All of them are hushed. Both the fox and the hare will forage through the long winter-but now the hare's coat matches the white snow and the fox's fur stands out like a fiery beacon.Manya Stojic's lovely evocation of a world made white will help cheer young readers along until-at last!-the snow melts and spring returns to the north.",,,,,,,30,,,,,English,,,,9780375923487,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:32:15.709954023,,,,,,qm7hAAAAMAAJ,,0,,
Snow Day,,,,,Lynn Plourde,"Plourde, Lynn",,,,,Simon & Schuster Books for Young Readers,,2001,,Juvenile Fiction,"The joys and wonder of spending the day romping around in the snow, and then snuggling up in a warm lap by the fire in the evening, is expressed through playful text and vibrant illustrations.",,,,,,,32,,,,,English,,,,9780689826009,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:30:38.672546982,,,,,,-QtYPQAACAAJ,,0,,
Soccer Beat,,,,,Sandra Gilbert Brug,"Brug, Sandra Gilbert",,,,,Simon and Schuster,,2003,,Juvenile Fiction,"The Rockets and Cheetahs, two spunky multi-animal teams, square off in this high energy, fast-paced game of soccer. Who will win this soccer meet? Full color.",,,,,,,32,,,,,English,,,,9780689845802,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:26:00.31126976,,,,,,CNgq_GmiubkC,,0,,
Stick Man,,,,,Julia Donaldson,"Donaldson, Julia",,,,,Arthur A. Levine Books/Scholastic,,2009,,Juvenile Fiction,"From superstars Donaldson and Scheffler, a heartwarming holiday tale.Stick Man lives in the family treeWith his Stick Lady Love and their stick children three.But one day, Stick Man is carried off by a mischievous dog who wants to play fetch! Things go from bad to worse as Stick Man is carried farther and farther away from home. Lonely and lost, Stick Man desperately wants to get home to be with his family for Christmas. And when he helps Santa Claus out of a bind, he finds the perfect ticket home!",,,,,,,32,,,,,English,,,,9780545157612,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:26:14.846626996,,,,,,btpaPwAACAAJ,,0,,
Templeton Gets His Wish,,,,,Greg Pizzoli,"Pizzoli, Greg",,,,,Disney-Hyperion,2015/05/12,2015,,Juvenile Fiction,"Templeton the cat doesn't like his parents telling him to clean up, and he really doesn't like when his brothers steal his toys. So, he makes a wish on a magic diamond, and his family disappears!At first, Templeton is over the moon. He's free to lounge and play all day, and he never has to take a bath. But being alone might not always be as fun as he'd thought. Will another wish on the magic diamond get Templeton what he really wants?Greg Pizzoli, the Geisel Award-winning author/illustrator of The Watermelon Seed, uses his signature humor, vibrant graphics, and a touch of magic to bring this mischievous tabby to life. Praise for Number One Sam: ""Pizzoli's zingy ice-pop colors and dramatically varied page compositions take home the blue ribbon."" -New York Times * ""[A] class act."" -Kirkus Reviews, starred review * ""[A]nother winner from Pizzoli."" -Publishers Weekly, starred review * ""'[A] popular choice at storytimes."" -School Library Journal  ""Pizzoli's talent with color, easy-to-read words, and humor is something to behold . . . This one does it all."" -Horn Book""Pizzoli's follow-up to the 2014 Geisel Award?winning The Watermelon Seed . . . pull[s] off a far more emotional feat than you'd expect."" -Booklist ""[T]his will zoom off shelves."" -Bulletin of the Center for Children's Books Praise for The Watermelon Seed: Winner of the 2014 Theodor Seuss Geisel Award ""Pizzoli legitimizes childish anxieties but also slyly exaggerates each worry to highlight the humor.""  -New York Times* ""It's an expert debut..."" -Publishers Weekly, starred review * ""Children will love this hilarious book...The story has broad appeal, making it a great first purchase."" -School Library Journal, starred review""The illustrations, done in a graphic, flat-color style with simple linework, recall the cheerful stylings of Ed Emberley and Roger Hargreaves. While Pizzoli uses the computer to arrange his compositions, he takes extra care to hand print the pieces. Done in a three-color printing, the silk screen offers a toothiness to the page, giving fruit, animal and emotions more substance."" -Kirkus Reviews""With a sharp graphic sensibility, vibrant design, and adept characterization, Pizzoli spins the simple premise into a sweet confection, ripe with broad humor.""-Booklist Online",,,,,,,48,,,,,English,,,,9781484712740,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:34:00.295132040,,,,,,mzLkoAEACAAJ,,0,,
Thanksgiving Day,,,,,Mari C. Schuh,"Schuh, Mari C.",,,,,Capstone,,2003,,Juvenile Nonfiction,Simple text and photographs describe the history of Thanksgiving Day and how it is celebrated.,,,,,,,24,,,,,English,,,,9780736816540,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:27:10.213605999,,,,,,BUjeuzP5Ie4C,,0,,
Thanksgiving Is--,,,,,Louise Borden,"Borden, Louise",,,,,Scholastic,,1997,,Juvenile Nonfiction,"Introduces young readers to the challenging lives of the Pilgrims and their first bountiful harvest, for which they gave thanks with a feast of wild fowl, salted fish, and corn. Original.",,,,,,,32,,,,,English,,,,9780590331289,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:26:59.328194022,,,,,,3oByGwAACAAJ,,0,,
The Berenstain Bears: All Aboard!,,,,,"Jan Berenstain, Mike Berenstain","Berenstain, Jan",,,,,Harper Collins,2010/06/29,2010,,Juvenile Fiction,"The Bears are on a steam train trip across Bear Country. Mama and Papa enjoy the scenery, but the cubs want to learn about the train. If they are lucky, Grizzly Jones might let them blow the whistle. Woo-hoo!   Beginning readers will feel like they are on board with the Bear family as they pass new sights and find out all about how the train runs.",,,,,,,32,,,,,English,,,,9780061689710,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:37:28.659600973,,,,,,ZiQkBCMNiQ0C,,0,,
The Christmas Kitten,,,,,Mary Packard,"Packard, Mary",,,,,Childrens Press,,1994,,Cats,"Young children will love learning to read with the ""My First Reader"" storybooks. Once a child can recognize and identify the words used to tell each story, he or she will be able to successfully read on their own. Familiar words are repeated throughout the story, so that after you and your young readers have read the story several times, he or she will be able to easily recognize the words and understand their meaning. A word list is included. Big, bright illustrations complement each delightful story -- the kind of stories young children can quickly relate to -- and enjoy.",,,,,,,31,,,,,English,,,,9780516053646,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:31:01.929226040,,,,,,INj8s9hCRJUC,,0,,
The Day the Crayons Came Home,,,,,Drew Daywalt,"Daywalt, Drew",,,,,Penguin,,2015,,Juvenile Fiction,"The companion to the #1 blockbuster bestseller, The Day the Crayons Quit! A Wall Street Journal Best Children's Book of 2015 / A TIME Magazine Top 10 Children's Book of 2015 ""Highly anticipated (yes, even for adults)"" --Entertainment Weekly  I'm not sure what it is about this kid Duncan, but his crayons sure are a colorful bunch of characters! Having soothed the hurt feelings of one group who threatened to quit, Duncan now faces a whole new group of crayons asking to be rescued. From Maroon Crayon, who was lost beneath the sofa cushions and then broken in two after Dad sat on him; to poor Turquoise, whose head is now stuck to one of Duncan's stinky socks after they both ended up in the dryer together; to Pea Green, who knows darn well that no kid likes peas and who ran away--each and every crayon has a woeful tale to tell and a plea to be brought home to the crayon box. Look for a special glow-in-the-dark picture [Note: make sure to ""charge"" it under a light first]. Praise for The Day the Crayons Came Home  Winner of the Goodreads Choice Award for Best Picture Book of 2015! A Wall Street Journal Best Book of 2015! One of Parents Magazine's Ten Best Children's Books of 2015! A Publishers Weekly Best Book of the Year! ""Funnier than the creators' original blockbuster.""--Parents Magazine ""Mr. Daywalt's text blends with Mr. Jeffers's illustrations to make a picture book that will have children clamoring for more crayon adventures.""--The Wall Street Journal ""Continues its predecessor's pleasing, goofy conceit...Once again, both Daywalt's text and Jeffers' illustrations are endearing.""--New York Times Book Review  ""By telling stories from the points of view of crayons, giving voices to the small and ignored, Daywalt and Jeffers have created two books that offer plenty of charm and fun, but also make children feel deeply understood.""--The Boston Globe * ""A masterwork of humor and design . . . Sure to be as popular as The Day the Crayons Quit.""--Booklist, starred review * ""A brilliant, colorful tale that begs to be read aloud and a must-have for all collections.""--School Library Journal, starred review * ""Once again, Daywalt and Jeffers create rich emotional lives and personalities for their colorful cast, and it's hard to imagine a reader who won't be delighted.""--Publishers Weekly, starred review ""Not only stands on its own merit, but may be even more colorful than the original.""--Huffington Post  ""Drew Daywalt and Oliver Jeffers once again offer perceptive and frequently hilarious insights...The Day the Crayons Came Home will have readers of all ages chuckling--and will inspire kids' empathy and imagination in equal measure.""--BookPage  Praise for The Day the Crayons Quit  The #1 New York Times bestselling phenomenon--over two years on the bestseller list!Winner of the E.B. White Read-Aloud Award  Amazon's 2013 Best Picture Book of the Year  A Barnes & Noble Best Book of 2013  Goodreads' 2013 Best Picture Book of the Year  * ""Hilarious . . . Move over, Click, Clack, Moo; we've got a new contender for the most successful picture-book strike."" -BCCB, starred review  ""Jeffers . . . elevates crayon drawing to remarkable heights."" -Booklist  ""Fresh and funny."" -The Wall Street Journal  ""This book will have children asking to have it read again and again."" -Library Media Connection  * ""This colorful title should make for an uproarious storytime."" -School Library Journal, starred review  * ""These memorable personalities will leave readers glancing apprehensively at their own crayon boxes."" -Publishers Weekly, starred review  ""Utterly original."" -San Francisco Chronicle",,,,,,,48,,,,,Russian,,,,9780399172755,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:29:05.446290016,,,,,,pC3eDAAAQBAJ,,0,,
